Final_taxon	Label	Total_ASVs	PVKR001	PVKR001-16S.PV.Blk1	PVKR001-16S.PV.Blk3	PVKR002	PVKR002-16S.PV.Blk1	PVKR003	PVKR003-16S.PV.Blk1	PVKR003-16S.PV.Blk3	PVKR004	PVKR004-16S.PV.Blk1	PVKR004-16S.PV.Blk3	PVKR005	PVKR005-16S.PV.Blk1	PVKR005-16S.PV.Blk3	PVKR006	PVKR006-16S.PV.Blk1	PVKR006-16S.PV.Blk3	PVKR007	PVKR007-16S.PV.Blk1	PVKR007-16S.PV.Blk3	PVKR008	PVKR008-16S.PV.Blk1	PVKR008-16S.PV.Blk3	PVKR009	PVKR009-16S.PV.Blk1	PVKR010	PVKR010-16S.PV.Blk1	PVKR010-16S.PV.Blk3	PVKR011	PVKR011-16S.PV.Blk1	PVKR011-16S.PV.Blk3	PVKR012	PVKR012-16S.PV.Blk1	PVKR012-16S.PV.Blk3	PVKR013	PVKR013-16S.PV.Blk1	PVKR013-16S.PV.Blk3	PVKR014	PVKR014-16S.PV.Blk1	PVKR014-16S.PV.Blk3	PVKR021	PVKR021-16S.PV.Blk1	PVKR021-16S.PV.Blk3	PVKR022	PVKR022-16S.PV.Blk3	PVKR023	PVKR023-16S.PV.Blk1	PVKR023-16S.PV.Blk3	PVKR024	PVKR024-16S.PV.Blk1	PVKR024-16S.PV.Blk3	PVKR025	PVKR025-16S.PV.Blk1	PVKR025-16S.PV.Blk3	PVKR026	PVKR026-16S.PV.Blk1	PVKR026-16S.PV.Blk3	PVKR027	PVKR027-16S.PV.Blk1	PVKR027-16S.PV.Blk3	PVKR028	PVKR028-16S.PV.Blk1	PVKR028-16S.PV.Blk3	PVKR029	PVKR029-16S.PV.Blk3	Total_read
p__Chordata;c__Aves;o__Gruiformes;f__Rallidae;g__Porphyrio;s__porphyrio	Prey - Aves	17	0	0	0	32	378	0	2	0	0	0	0	395	4031	1568	0	0	0	0	0	0	0	6	0	0	0	0	1074	0	3	0	0	0	55	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1037	0	0	238	1	0	0	0	8822
p__Chordata;c__Aves;o__Gruiformes;f__Rallidae;g__Zapornia	Prey - Aves	2	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
p__Chordata;c__Aves;o__Gruiformes;f__Rallidae;g__Zapornia;s__fusca	Prey - Aves	28	21	29	47	109	162	25803	79735	42297	9	20	28	39	120	94	17	22	24	6	44	27	21	0	27	6	7	10	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148747
p__Chordata;c__Aves;o__Passeriformes	Prey - Aves	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
p__Chordata;c__Aves;o__Passeriformes;f__Muscicapidae	Prey - Aves	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Aves;o__Passeriformes;f__Muscicapidae;g__Calliope;s__calliope	Prey - Aves	6	0	2	4	0	18	0	4	3	504	2683	1771	8	3	6	3	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5014
p__Chordata;c__Aves;o__Passeriformes;f__Sturnidae	Prey - Aves	3	0	0	0	0	6	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
p__Chordata;c__Aves;o__Passeriformes;f__Sturnidae;g__Acridotheres	Prey - Aves	3	0	0	0	0	0	0	0	2	9	484	123	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620
p__Chordata;c__Aves;o__Passeriformes;f__Timaliidae	Prey - Aves	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
p__Chordata;c__Aves;o__Pelecaniformes	Prey - Aves	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0	0	611
p__Chordata;c__Aves;o__Pelecaniformes;f__Ardeidae	Prey - Aves	5	0	0	0	0	0	0	40	0	0	0	0	0	14	0	2	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
p__Chordata;c__Aves;o__Pelecaniformes;f__Ardeidae;g__Ardea;s__modesta	Prey - Aves	5	535	1233	450	219	270	0	12	0	5	0	0	4	0	4	0	0	0	3	10	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2750
p__Chordata;c__Aves;o__Pelecaniformes;f__Ardeidae;g__Ixobrychus	Prey - Aves	5	0	0	0	0	3	0	0	0	0	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
p__Chordata;c__Aves;o__Pelecaniformes;f__Ardeidae;g__Ixobrychus;s__cinnamomeus	Prey - Aves	19	6	15	60	16	46	10	29	44	3106	17033	21692	11	28	43	0	7	25	5	17	27	0	4	29	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42259
p__Chordata;c__Aves;o__Pelecaniformes;f__Ardeidae;g__Ixobrychus;s__sinensis	Prey - Aves	2	0	0	0	0	0	0	0	0	169	1350	967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2486
p__Chordata;c__Aves;o__Phoenicopteriformes;f__Phoenicopteridae	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
p__Chordata;c__Aves;o__Suliformes;f__Phalacrocoracidae	Prey - Aves	45	0	0	0	0	9	0	26	0	0	0	0	0	14	0	0	0	0	0	11	0	0	0	0	0	980	0	0	0	65	16430	37241	105	4056	167	51	35	31	39	7	16	38	99	72	28	9	19	8	44	32	5	54	4	6	11	21704	67661	52509	0	0	0	0	0	0	0	0	201586
p__Chordata;c__Aves;o__Suliformes;f__Phalacrocoracidae;g__Phalacrocorax	Prey - Aves	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	23
