Final_taxon	Label	Total_ASVs	LNHKK59_12S_OBS1	LNHKK61_12S_OBS1	LNHKK62_12S_OBS1	LNHKK63_12S_OBS1	LNHKK64_12S_OBS1	LNHKK65_12S_OBS1	LNHKK66_12S_OBS1	LNHKK67_12S_OBS1	LNHKK69_12S_OBS1	LNHKK70_12S_OBS1	LNHKK71_12S_OBS1	LNHKK73_12S_OBS1	LNKB147_12S_OBS1	LNKB148_12S_OBS1	LNKB149_12S_OBS1	LNKWC17_12S_OBS1	LNKWC18_12S_OBS1	LNKWC19_12S_OBS1	LNKWC20_12S_OBS1	LNKWC21_12S_OBS1	LNKWC22_12S_OBS1	LNKWC23_12S_OBS1	LNKWC24_12S_OBS1	LNMAW11_12S_OBS1	LNMAW13_12S_OBS1	LNMAW14_12S_OBS1	LNMAW15_12S_OBS1	LNMAW16_12S_OBS1	LNMAW17_12S_OBS1	LNMAW18_12S_OBS1	LNMAW19_12S_OBS1	LNNKS15_12S_OBS1	LNNKS16_12S_OBS1	LNNKS17_12S_OBS1	LNSK15_12S_OBS1	LNSK16_12S_OBS1	LNSK17_12S_OBS1	LNSK20_12S	LNSK24_12S	LNSK28_12S_OBS1	LNSK46_12S	LNSK46_12S_OBS1	LNSK47_12S	LNSTU34_12S_OBS1	LNSTU37_12S_OBS1	LNSTU40_12S_OBS1	LNSTU41_12S_OBS1	LNSTU47_12S_OBS1	LNTYE25_12S_OBS1	LNTYE26_12S_OBS1	LNTYE27_12S_OBS1	LNTYE29_12S_OBS1	LNTYE30_12S_OBS1	LNTYE31_12S_OBS1	LNTYE33_12S_OBS1	LNTYE34_12S_OBS1	LNTYE35_12S_OBS1	LNTYE36_12S_OBS1	LNTYE38_12S_OBS1	LNTYE40_12S_OBS1	LNTYE41_12S_OBS1	LNTYE43_12S_OBS1	LNTYE45_12S_OBS1	LNTYE47_12S_OBS1	LNTYE48_12S_OBS1	LNTYE49_12S_OBS1	Total_read
p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__cancrivora	Prey - Amphibia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210
p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__limnocharis	Prey - Amphibia	2	18101	166	21	18	24	25	13	16	8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	18544
p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Limnonectes	Prey - Amphibia	6	0	0	0	0	0	0	0	0	0	0	176	277	0	0	0	0	21	0	5	8980	30	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1587	0	0	0	0	0	0	0	0	0	0	0	17684	8889	19740	637	4086	17701	8801	304	43566	137	26154	5649	36518	88969	19030	1003	4263	4104	318326
p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Limnonectes;s__taylori	Prey - Amphibia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590
p__Chordata;c__Amphibia;o__Anura;f__Megophryidae	Prey - Amphibia	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	200	0	0	161	0	0	6	0	10	0	0	0	2	3	608	0	1000
p__Chordata;c__Amphibia;o__Anura;f__Megophryidae;g__Leptobrachium	Prey - Amphibia	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	177
p__Chordata;c__Amphibia;o__Anura;f__Megophryidae;g__Leptobrachium;s__smithi	Prey - Amphibia	1	0	0	0	0	0	0	0	0	0	0	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	10	215	18	20	2540	639	3528	5	4	10544	0	6	7	5	2	9	166	17853
p__Chordata;c__Amphibia;o__Anura;f__Microhylidae;g__Microhyla	Prey - Amphibia	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	8	20011	6	12	41	7	18	18	7	20162
p__Chordata;c__Amphibia;o__Anura;f__Ranidae	Prey - Amphibia	15	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	0	0	3	0	0	0	0	0	0	0	0	185	0	5236	22	621	16	0	0	103479	231	69051	4126	16453	28638	306	52892	24881	24157	330994
p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Hylarana	Prey - Amphibia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	50	0	0	4028	0	4165
